Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
24,,2016-12-12,38-176,DAL,,DEN,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,2016-12-14,38-178,DAL,,DET,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,,2016-12-16,38-180,DAL,@,UTA,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,,2016-12-18,38-182,DAL,,SAC,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,2016-12-19,38-183,DAL,@,DEN,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,2016-12-21,38-185,DAL,@,POR,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,6,2016-12-23,38-187,DAL,@,LAC,W (+2),1,14:39,7,12,.583,2,3,.667,1,1,1.000,2,2,4,0,0,0,1,2,17,11.6,+7
31,7,2016-12-26,38-190,DAL,@,NOP,L (-7),1,16:59,4,9,.444,2,4,.500,0,0,,0,2,2,4,0,0,0,1,10,8.3,-5
32,8,2016-12-27,38-191,DAL,,HOU,L (-16),1,14:56,2,8,.250,0,0,,3,4,.750,1,2,3,0,0,0,1,0,7,2.1,-22
33,,2016-12-29,38-193,DAL,@,LAL,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,9,2016-12-30,38-194,DAL,@,GSW,L (-9),1,23:26,3,12,.250,0,3,.000,5,5,1.000,0,5,5,1,0,1,3,2,11,2.9,-17
35,10,2017-01-03,38-198,DAL,,WAS,W (+8),1,24:06,4,9,.444,1,4,.250,2,2,1.000,0,9,9,0,0,0,0,2,11,8.2,+6
36,11,2017-01-05,38-200,DAL,,PHO,L (-7),1,27:48,5,14,.357,3,7,.429,0,0,,1,6,7,3,0,1,1,5,13,7.5,-13
37,12,2017-01-07,38-202,DAL,,ATL,L (-15),1,30:12,4,10,.400,0,3,.000,3,3,1.000,0,3,3,2,2,1,3,2,11,6.8,+3
38,13,2017-01-09,38-204,DAL,@,MIN,L (-9),1,31:12,8,16,.500,5,10,.500,5,7,.714,0,5,5,4,0,0,0,5,26,19.5,-20
39,14,2017-01-12,38-207,DAL,@,PHO,W (+5),1,30:00,7,15,.467,3,5,.600,1,1,1.000,0,6,6,1,0,1,0,2,18,12.7,+20
40,15,2017-01-15,38-210,DAL,,MIN,W (+11),1,28:05,7,14,.500,3,4,.750,0,0,,0,6,6,2,0,3,1,1,17,13.9,+17
41,16,2017-01-17,38-212,DAL,@,CHI,W (+1),1,27:07,3,9,.333,0,3,.000,4,6,.667,0,10,10,2,1,0,0,2,10,8.7,-4
42,17,2017-01-19,38-214,DAL,@,MIA,L (-4),1,29:13,7,16,.438,2,6,.333,3,5,.600,0,4,4,1,2,0,1,2,19,11.9,-1
43,18,2017-01-20,38-215,DAL,,UTA,L (-5),1,25:09,1,13,.077,0,4,.000,1,1,1.000,2,8,10,0,0,0,0,3,3,-3.1,-1
44,19,2017-01-22,38-217,DAL,,LAL,W (+49),1,20:05,5,11,.455,1,3,.333,2,2,1.000,1,4,5,1,1,1,1,2,13,9.8,+31
45,20,2017-01-25,38-220,DAL,,NYK,W (+8),1,24:57,8,12,.667,0,2,.000,3,3,1.000,2,2,4,2,0,3,0,2,19,18.5,-1
46,21,2017-01-29,38-224,DAL,@,SAS,W (+4),1,28:13,5,11,.455,2,3,.667,3,3,1.000,2,8,10,0,0,4,2,1,15,13.5,+10
