Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
38,38,2012-03-09,33-264,DAL,@,SAC,L (-13),1,28:56,5,13,.385,0,0,,3,3,1.000,1,8,9,1,1,1,3,1,13,8.0,-21
39,39,2012-03-10,33-265,DAL,@,GSW,L (-24),1,30:10,7,16,.438,1,1,1.000,7,8,.875,1,3,4,0,1,0,2,0,22,13.8,-4
40,40,2012-03-13,33-268,DAL,,WAS,W (+9),1,28:07,10,14,.714,2,5,.400,5,6,.833,0,4,4,3,0,0,2,5,27,20.1,+19
41,41,2012-03-15,33-270,DAL,,CHA,W (+5),1,33:24,9,21,.429,3,7,.429,6,7,.857,0,6,6,5,0,0,1,2,27,19.0,+10
42,42,2012-03-17,33-272,DAL,,SAS,W (+7),1,36:06,9,19,.474,2,3,.667,7,7,1.000,1,5,6,4,0,0,4,2,27,17.5,+5
43,43,2012-03-19,33-274,DAL,@,DEN,W (+17),1,31:21,12,19,.632,3,4,.750,6,8,.750,1,10,11,6,0,1,3,2,33,28.5,+23
44,44,2012-03-21,33-276,DAL,,LAL,L (-16),1,35:48,10,23,.435,2,5,.400,4,5,.800,3,7,10,4,2,0,1,2,26,20.7,-15
45,45,2012-03-23,33-278,DAL,@,SAS,L (-17),1,37:07,5,21,.238,0,2,.000,6,6,1.000,0,2,2,2,0,0,2,1,16,2.9,-6
46,46,2012-03-24,33-279,DAL,@,HOU,W (+2),1,39:00,10,20,.500,2,6,.333,9,10,.900,0,7,7,3,0,2,0,3,31,25.0,+10
47,47,2012-03-27,33-282,DAL,,HOU,W (+9),1,35:22,5,17,.294,0,3,.000,11,12,.917,0,6,6,3,0,0,1,1,21,13.2,+5
48,48,2012-03-29,33-284,DAL,@,MIA,L (-21),1,34:18,9,19,.474,0,1,.000,7,7,1.000,1,5,6,3,1,1,3,3,25,17.1,-9
49,49,2012-03-30,33-285,DAL,@,ORL,W (+2),1,36:41,9,18,.500,2,3,.667,8,8,1.000,0,3,3,2,0,1,1,3,28,19.8,+3
50,50,2012-04-02,33-288,DAL,,LAC,L (-19),1,35:48,7,14,.500,1,2,.500,4,4,1.000,0,4,4,0,1,1,2,1,19,12.5,-16
51,51,2012-04-04,33-290,DAL,,MEM,W (+10),1,37:55,10,18,.556,0,1,.000,3,5,.600,2,8,10,2,1,1,0,1,23,20.1,+20
52,52,2012-04-06,33-292,DAL,,POR,L (-2),1,42:35,9,16,.563,1,5,.200,4,4,1.000,1,13,14,2,0,1,1,1,23,20.7,+6
53,53,2012-04-07,33-293,DAL,@,MEM,L (-5),1,35:48,5,16,.313,3,7,.429,4,4,1.000,0,8,8,2,0,0,3,0,17,8.6,+3
54,54,2012-04-10,33-296,DAL,,SAC,W (+10),1,29:18,4,14,.286,1,3,.333,6,6,1.000,2,6,8,0,0,1,1,4,15,8.1,+8
55,55,2012-04-12,33-298,DAL,@,GSW,W (+9),1,36:32,10,23,.435,1,5,.200,6,7,.857,0,1,1,3,1,0,2,5,27,13.9,+21
56,56,2012-04-13,33-299,DAL,@,POR,W (+3),1,37:11,8,14,.571,4,5,.800,4,4,1.000,0,9,9,3,1,1,5,3,24,17.7,+1
57,57,2012-04-15,33-301,DAL,@,LAL,L (-4),1,42:53,9,28,.321,3,8,.375,3,3,1.000,0,14,14,1,0,1,2,0,24,11.6,+5
58,58,2012-04-16,33-302,DAL,@,UTA,L (-2),1,52:57,13,26,.500,2,7,.286,12,12,1.000,1,8,9,6,0,0,3,4,40,29.7,+8
59,59,2012-04-18,33-304,DAL,,HOU,W (+7),1,38:32,10,18,.556,3,4,.750,12,12,1.000,0,4,4,2,1,0,0,3,35,28.8,+17
60,60,2012-04-20,33-306,DAL,,GSW,W (+10),1,27:09,7,14,.500,0,1,.000,2,2,1.000,1,4,5,2,0,0,4,3,16,7.1,+6
61,61,2012-04-21,33-307,DAL,@,CHI,L (-10),1,32:42,6,15,.400,1,4,.250,4,5,.800,1,6,7,0,0,0,0,3,17,9.8,+10
62,62,2012-04-26,33-312,DAL,@,ATL,L (-17),1,26:09,7,12,.583,1,1,1.000,7,7,1.000,0,3,3,1,0,0,4,2,22,13.2,-7
